step,total_reward,0_phase,0_total_queue,1_phase,1_total_queue,10_phase,10_total_queue,11_phase,11_total_queue,12_phase,12_total_queue,13_phase,13_total_queue,14_phase,14_total_queue,15_phase,15_total_queue,2_phase,2_total_queue,3_phase,3_total_queue,4_phase,4_total_queue,5_phase,5_total_queue,6_phase,6_total_queue,7_phase,7_total_queue,8_phase,8_total_queue,9_phase,9_total_queue
48,-5.761104022651911,1,0.3426456,1,0.24166946,1,0.541637,1,0.73153025,1,0.6768683,1,0.5259786,1,0.55935156,1,0.80854094,1,0.25445977,1,0.3363626,1,0.37224197,1,0.61423486,1,0.18718861,1,0.6448399,1,0.59430605,1,0.3572954
49,-5.699002541169524,0,0.20374733,0,0.13837951,0,0.37105578,0,0.6820086,0,0.49079517,0,0.33781138,0,0.39306048,0,0.45836297,0,0.15511774,0,0.244948,0,0.06690391,0,0.41010675,0,0.113078296,0,0.43890867,0,0.33816725,0,0.12858838
50,-0.742472106218338,0,0.039685335,0,0.27644128,0,0.29288256,0,0.41376036,0,0.12150194,0,0.21915777,0,0.40209568,0,0.29786476,0,0.27935943,0,0.3039146,0,0.26276857,0,0.3591459,0,0.38825622,0,0.42462635,0,0.0,0,0.26856464
51,-0.9032304584980011,0,0.11248092,0,0.4540925,0,0.54483986,0,0.47245553,0,0.06927322,0,0.45865953,0,0.5994959,0,0.69380784,0,0.5181495,0,0.43914592,0,0.4800986,0,0.57067615,0,0.6986951,0,0.52740216,0,0.19161677,0,0.59383154
52,-5.790128482446074,0,0.16531643,0,0.49750888,0,0.6291815,0,0.6142349,0,0.107150406,0,0.64768684,0,0.78291816,0,0.7961178,0,0.6505338,0,0.43914592,0,0.6760303,0,0.7323843,0,0.8405694,0,0.52740216,0,0.27559,0,0.6505338
53,-5.66775807620585,1,0.0,1,0.22206405,1,0.32259786,1,0.28726768,1,0.056702252,1,0.3906228,1,0.5644128,1,0.5696538,1,0.29323846,1,0.165447,1,0.4630506,1,0.44638196,1,0.56642944,1,0.31470937,1,0.23500574,1,0.36370105
54,-0.6210925310850144,1,0.10622686,1,0.0,1,0.0400949,1,0.34701464,1,0.35323843,1,0.24199288,1,0.27713522,1,0.45241022,1,0.12288791,1,0.15617636,1,0.26903915,1,0.31969157,1,0.30600238,1,0.46417558,1,0.3153025,1,0.26619217
55,-0.7813109248876572,1,0.14917536,1,0.036351398,1,0.12028469,1,0.46702254,1,0.52297354,1,0.34377223,1,0.52811384,1,0.5743772,1,0.26208907,1,0.22871087,1,0.54092526,1,0.46761566,1,0.5813761,1,0.5158956,1,0.42562276,1,0.4466192
56,-5.748592286497355,1,0.21810839,1,0.119735226,1,0.18718861,1,0.658363,1,0.59430605,1,0.34377223,1,0.5950178,1,0.7259786,1,0.38034332,1,0.38744906,1,0.627758,1,0.5459075,1,0.6355872,1,0.65338075,1,0.42562276,1,0.7145907
57,-5.6914827312678105,0,0.13556734,0,0.0,0,0.11459075,0,0.4672598,0,0.33065712,0,0.085172005,0,0.37039146,0,0.53774405,0,0.2493445,0,0.43147454,0,0.4512776,0,0.2795967,0,0.43487546,0,0.39939502,0,0.112313166,0,0.44626337
58,-0.7402659684419632,0,0.09704121,0,0.056702252,0,0.3569395,0,0.34128112,0,0.09406256,0,0.3628707,0,0.30059314,0,0.40159744,0,0.20498222,0,0.4619694,0,0.31757662,0,0.28291816,0,0.32111508,0,0.4146797,0,0.0,0,0.26049823
59,-0.8982863172888756,0,0.21002701,0,0.18612099,0,0.66316724,0,0.59572953,0,0.19736996,0,0.513879,0,0.56445235,0,0.58118623,0,0.42846975,0,0.71843415,0,0.48009863,0,0.5658363,0,0.6385765,0,0.71198106,0,0.0,0,0.34733096
60,-5.811286507114768,0,0.20317012,0,0.27046263,0,0.75871885,0,0.59572953,0,0.3578725,0,0.513879,0,0.7010676,0,0.84982204,0,0.56441283,0,0.80427045,0,0.5463191,0,0.71103203,0,0.7658363,0,0.8604982,0,0.132441,0,0.34733096
61,-5.722672094345093,1,0.15642534,1,0.08614072,1,0.36955518,1,0.36502963,1,0.20000386,1,0.23558718,1,0.3608541,1,0.6520463,1,0.3289682,1,0.46073547,1,0.56949615,1,0.42396203,1,0.4580071,1,0.5973903,1,0.04466192,1,0.16400158
