sim_step,simulation_time,system_total_stopped,system_total_waiting_time,system_mean_waiting_time,system_mean_speed,system_mean_queue_length,queue_length_0,queue_length_1,queue_length_10,queue_length_11,queue_length_12,queue_length_13,queue_length_14,queue_length_15,queue_length_2,queue_length_3,queue_length_4,queue_length_5,queue_length_6,queue_length_7,queue_length_8,queue_length_9
325.0,1625.0,76,492.0,1.618421052631579,6.01458833500942,0,2,7,6,12,0,6,2,4,1,4,6,0,7,1,6,12
330.0,1650.0,59,489.0,1.6032786885245902,6.870339287694203,0,2,7,1,12,0,1,0,2,4,6,0,0,9,3,5,7
335.0,1675.0,56,447.0,1.4512987012987013,7.346757633841236,0,4,1,2,6,1,6,1,1,6,7,1,0,9,2,3,6
340.0,1700.0,56,334.0,1.080906148867314,6.537305651832186,0,7,2,3,0,1,7,1,5,7,1,3,2,4,2,6,5
345.0,1725.0,62,323.0,1.0419354838709678,6.695021053573354,0,9,2,6,2,1,1,3,3,2,5,6,1,5,0,7,9
350.0,1750.0,79,552.0,1.8098360655737704,6.703409054210642,0,9,2,12,1,3,2,7,3,1,9,10,1,5,0,3,11
355.0,1775.0,79,477.0,1.5639344262295083,6.464912000203457,0,6,6,8,6,0,3,11,3,7,3,5,1,0,1,4,15
360.0,1800.0,60,375.0,1.2417218543046358,7.467155514495263,0,1,11,7,11,0,3,7,0,1,0,1,0,2,1,5,10
365.0,1825.0,59,408.0,1.383050847457627,7.612420884707515,0,3,7,7,11,2,1,6,0,3,1,1,0,6,4,2,5
370.0,1850.0,69,484.0,1.6406779661016948,6.707012237543218,0,6,5,6,15,1,2,6,0,5,4,2,1,6,4,5,1
375.0,1875.0,55,412.0,1.401360544217687,6.178309318486274,0,0,5,8,15,0,2,6,1,2,1,0,0,3,0,5,7
380.0,1900.0,62,311.0,1.0332225913621262,6.695071548591252,0,4,3,12,13,3,1,1,0,2,6,1,0,3,0,1,12
385.0,1925.0,65,376.0,1.2168284789644013,7.641980778218423,0,4,0,7,10,6,3,4,1,6,7,1,0,0,0,3,13
390.0,1950.0,63,374.0,1.194888178913738,7.5652188947092665,0,8,1,7,6,7,3,10,1,6,1,1,0,1,1,4,6
395.0,1975.0,66,364.0,1.1818181818181819,6.760800004747571,0,6,2,8,8,11,1,5,1,2,2,4,1,5,6,2,2
400.0,2000.0,87,563.0,1.8704318936877076,5.882811160414306,0,2,5,6,12,16,3,6,1,2,2,4,6,6,7,7,2
405.0,2025.0,88,540.0,1.8,5.7215593107296305,0,5,9,8,16,13,3,6,1,0,1,0,7,3,1,8,7
410.0,2050.0,74,432.0,1.4025974025974026,6.15281292210009,0,5,5,12,13,5,3,0,3,1,6,3,5,3,0,2,8
415.0,2075.0,77,503.0,1.5817610062893082,6.872389289387335,0,7,0,8,6,2,0,3,7,5,10,6,6,2,0,1,14
420.0,2100.0,75,496.0,1.5451713395638629,7.287615007894043,0,7,0,8,2,2,1,3,5,11,5,7,6,4,2,2,10
425.0,2125.0,57,326.0,1.0219435736677116,6.6058275369892785,0,3,1,8,9,3,6,2,0,5,3,4,1,4,2,1,5
430.0,2150.0,93,591.0,1.912621359223301,6.006385081001383,0,3,2,12,14,5,12,6,0,1,4,4,5,4,3,7,11
435.0,2175.0,98,601.0,1.932475884244373,5.765711751486796,0,6,3,12,16,7,11,6,2,2,1,1,10,0,3,7,11
440.0,2200.0,70,368.0,1.1794871794871795,6.263632098246061,0,1,4,10,10,9,6,0,1,3,1,4,11,1,0,2,7
445.0,2225.0,62,315.0,1.0063897763578276,7.530787148324816,0,0,0,10,7,9,0,0,3,0,6,4,7,1,0,3,12
450.0,2250.0,67,379.0,1.1918238993710693,7.436025394407638,0,4,0,7,8,3,0,1,3,5,6,5,9,0,0,5,11
455.0,2275.0,67,333.0,1.0605095541401275,6.686674463801676,0,1,2,6,7,5,6,6,0,10,2,2,5,0,6,5,4
460.0,2300.0,85,473.0,1.478125,6.366997491399408,0,4,1,9,12,6,12,7,0,4,3,0,5,0,11,3,8
465.0,2325.0,78,479.0,1.5015673981191222,5.941964961085468,0,5,0,4,10,5,9,3,1,3,1,0,9,2,6,6,14
470.0,2350.0,78,567.0,1.7554179566563468,6.802558859018877,0,7,4,5,7,10,7,2,0,5,1,1,3,5,0,6,15
475.0,2375.0,68,428.0,1.3169230769230769,6.494177975206496,0,6,0,11,0,8,9,3,0,3,3,5,5,5,0,1,9
480.0,2400.0,73,310.0,0.9422492401215805,6.3334161550438255,0,3,0,10,1,8,3,8,6,7,2,3,11,1,2,3,5
485.0,2425.0,95,561.0,1.7051671732522797,7.03190854253252,0,6,0,2,5,8,0,12,12,11,3,3,11,1,7,4,10
490.0,2450.0,75,448.0,1.3784615384615384,6.573666277008918,0,4,0,2,7,9,2,9,6,6,7,6,3,1,7,1,5
495.0,2475.0,58,269.0,0.8328173374613003,6.706018531186897,0,1,2,2,4,7,3,5,0,5,9,2,7,1,1,1,8
500.0,2500.0,80,450.0,1.355421686746988,7.540291632145952,0,3,5,3,10,11,7,3,0,7,3,0,7,1,0,8,12
505.0,2525.0,70,389.0,1.1716867469879517,6.865709381334695,0,2,6,6,8,9,9,2,2,4,2,2,6,2,0,4,6
510.0,2550.0,87,460.0,1.393939393939394,5.884373601394509,0,6,10,11,2,3,3,9,4,7,7,4,10,2,0,4,5
515.0,2575.0,110,702.0,2.1017964071856285,6.415817518224925,0,10,6,14,7,2,0,13,8,11,6,4,9,0,2,8,10
520.0,2600.0,70,569.0,1.693452380952381,6.394378909668289,0,6,0,8,2,4,1,8,9,11,3,6,1,0,2,4,5
525.0,2625.0,63,350.0,1.0510510510510511,6.655083391644152,0,5,6,0,2,5,3,9,3,5,4,7,0,0,7,1,6
530.0,2650.0,64,367.0,1.105421686746988,7.372427809059913,0,8,5,2,2,7,6,8,0,1,0,3,0,0,7,6,9
535.0,2675.0,73,370.0,1.088235294117647,6.94732448254563,0,5,7,3,4,12,12,3,2,3,0,2,5,1,2,8,4
540.0,2700.0,77,365.0,1.0863095238095237,6.420546639219005,0,4,10,8,4,8,8,7,3,0,1,6,6,1,1,4,6
545.0,2725.0,83,459.0,1.3783783783783783,6.964006205217031,0,8,7,12,0,1,1,13,7,2,1,5,2,1,5,7,11
550.0,2750.0,77,515.0,1.555891238670695,6.594364220213849,0,4,1,7,2,2,3,7,10,7,1,1,6,0,5,9,12
555.0,2775.0,68,390.0,1.1818181818181819,6.164501332065462,0,4,6,1,2,2,5,5,10,3,4,3,4,0,6,6,7
560.0,2800.0,67,370.0,1.1349693251533743,7.200375027544561,0,6,11,1,1,8,7,10,5,0,1,1,2,0,6,2,6
565.0,2825.0,76,466.0,1.4382716049382716,7.00527513505619,0,3,9,0,3,10,13,6,0,0,0,2,7,0,6,6,11
570.0,2850.0,66,306.0,0.9592476489028213,6.500894046669407,0,5,1,2,2,7,7,8,2,0,2,7,7,1,1,8,6
575.0,2875.0,59,295.0,0.9577922077922078,6.926771999428594,0,7,3,5,0,0,0,13,4,0,0,8,3,1,1,7,7
580.0,2900.0,61,377.0,1.2566666666666666,7.6881851469228515,0,1,3,5,0,0,0,9,8,1,2,3,6,1,1,10,11
585.0,2925.0,58,300.0,0.9868421052631579,6.684091024121218,0,2,4,0,1,2,2,9,10,1,3,5,5,0,2,4,8
590.0,2950.0,61,410.0,1.3486842105263157,6.700811759555023,0,3,6,0,0,0,7,10,10,0,4,0,6,0,5,2,8
595.0,2975.0,68,491.0,1.6098360655737705,7.113540522724612,0,1,6,0,2,2,14,6,8,1,0,0,6,0,5,6,11
600.0,3000.0,76,442.0,1.403174603174603,6.487204366946121,0,5,0,2,7,3,13,7,3,1,1,6,4,0,5,7,12
605.0,3025.0,67,365.0,1.1514195583596214,6.675590158786084,0,9,2,2,6,2,4,13,2,5,6,5,1,0,0,2,8
610.0,3050.0,64,325.0,1.051779935275081,6.926327398697628,0,7,6,8,0,0,0,8,6,6,5,2,7,0,0,3,6
615.0,3075.0,56,291.0,0.9267515923566879,6.81052483243631,0,2,2,12,0,2,0,2,7,4,4,3,9,1,1,0,7
620.0,3100.0,58,409.0,1.2584615384615385,6.967887850391707,0,1,5,6,1,2,2,2,5,5,5,4,9,0,3,1,7
625.0,3125.0,53,292.0,0.8929663608562691,7.057856109263095,0,2,5,0,5,5,3,5,8,6,0,1,3,0,1,7,2
630.0,3150.0,62,273.0,0.84,6.669200148834617,0,8,0,0,5,10,8,1,6,1,3,7,1,0,1,5,6
635.0,3175.0,90,465.0,1.453125,6.449336921300163,0,13,2,0,2,5,9,7,8,5,8,11,7,0,0,3,10
640.0,3200.0,84,548.0,1.696594427244582,6.507892841336898,0,12,3,2,0,0,4,13,9,5,7,6,6,1,0,6,10
645.0,3225.0,56,278.0,0.8633540372670807,6.661228250716534,0,8,1,5,0,0,5,11,8,3,0,3,5,1,0,2,4
650.0,3250.0,68,313.0,0.9750778816199377,6.779420732523554,0,7,2,6,1,6,5,6,6,3,3,6,9,6,2,0,0
655.0,3275.0,63,384.0,1.2037617554858935,6.926021801757788,0,10,2,2,0,5,1,8,11,7,1,1,3,7,4,1,0
660.0,3300.0,68,404.0,1.274447949526814,6.882178440815898,0,7,1,1,0,0,8,10,9,8,3,6,1,1,4,7,2
665.0,3325.0,69,355.0,1.126984126984127,6.312857883731365,0,6,3,1,2,0,11,4,6,4,8,11,6,0,1,6,0
670.0,3350.0,86,456.0,1.425,6.3582815910723225,0,10,5,0,1,1,7,7,6,0,14,12,10,2,4,3,4
675.0,3375.0,83,540.0,1.7197452229299364,6.707223745410438,0,7,6,0,0,4,8,11,6,2,16,3,7,1,4,4,4
680.0,3400.0,60,396.0,1.233644859813084,6.782569830872202,0,4,6,0,2,0,11,5,5,2,10,4,8,0,2,0,1
685.0,3425.0,65,331.0,1.0247678018575852,6.629126427835694,0,4,11,4,1,5,5,2,8,0,1,3,8,4,6,2,1
690.0,3450.0,77,395.0,1.2191358024691359,6.379652966190524,0,1,6,6,5,11,0,6,13,2,1,8,2,4,6,5,1
695.0,3475.0,84,526.0,1.6085626911314985,6.157919840110568,0,6,7,0,5,11,1,4,17,5,2,12,6,1,1,6,0
700.0,3500.0,118,872.0,2.650455927051672,6.751144098025094,0,10,11,0,0,11,5,8,17,8,6,17,12,1,5,2,5
705.0,3525.0,105,932.0,2.824242424242424,5.981940485608702,0,6,13,1,0,5,5,10,14,4,6,17,7,1,7,4,5
710.0,3550.0,74,558.0,1.680722891566265,6.015894985868485,0,3,12,4,1,2,3,4,11,5,0,11,7,2,2,2,5
715.0,3575.0,75,476.0,1.451219512195122,6.816587837170982,0,4,9,4,5,3,3,0,6,11,4,3,11,2,5,0,5
720.0,3600.0,70,511.0,1.5869565217391304,6.805036473325991,0,1,5,4,7,4,1,0,6,11,5,4,7,1,7,0,7
725.0,3625.0,52,309.0,1.0,6.542825184588778,0,6,0,4,1,1,2,0,13,4,1,1,2,1,7,2,7
730.0,3650.0,70,361.0,1.1836065573770491,6.7818775599534735,0,8,6,0,2,5,2,1,14,5,0,7,7,1,3,2,7
735.0,3675.0,83,480.0,1.5946843853820598,6.797647004161466,0,3,13,2,2,5,0,4,11,6,0,13,6,0,2,3,13
740.0,3700.0,75,486.0,1.577922077922078,6.377031477670526,0,1,11,8,2,0,2,4,7,3,1,17,2,0,2,4,11
745.0,3725.0,74,472.0,1.4889589905362777,6.755497156553818,0,5,6,7,3,0,8,4,7,3,3,14,6,0,2,1,5
750.0,3750.0,67,448.0,1.4088050314465408,7.062135075222259,0,2,4,0,6,2,6,1,7,8,5,10,1,1,5,1,8
755.0,3775.0,56,339.0,1.0796178343949046,6.857919194506235,0,6,4,0,0,2,0,0,9,3,4,12,0,1,4,1,10
760.0,3800.0,65,343.0,1.0993589743589745,7.239859553561426,0,8,2,5,4,5,0,2,10,4,5,7,5,1,0,0,7
765.0,3825.0,78,511.0,1.596875,6.849020756906114,0,12,7,10,6,5,0,3,3,5,5,1,5,2,0,3,11
770.0,3850.0,87,681.0,2.1826923076923075,6.248673312387932,0,14,10,12,6,5,2,5,8,0,2,6,0,1,2,5,9
775.0,3875.0,85,714.0,2.303225806451613,6.478881374952071,0,18,8,12,0,3,6,5,7,1,2,11,0,0,2,5,5
780.0,3900.0,73,543.0,1.7348242811501597,6.573567675849224,0,14,2,6,0,4,6,3,4,5,6,5,3,0,2,5,8
785.0,3925.0,62,407.0,1.2839116719242902,7.154771367334364,0,10,2,1,0,6,2,5,4,6,1,1,6,0,0,5,13
790.0,3950.0,57,310.0,0.9841269841269841,7.2830131313226625,0,6,2,0,2,3,2,12,2,1,1,2,10,0,0,1,13
795.0,3975.0,63,377.0,1.220064724919094,6.923434462581294,0,1,4,0,4,6,0,7,3,3,1,5,15,3,0,4,7
800.0,4000.0,88,580.0,1.9205298013245033,6.616394974768051,0,7,5,2,4,7,0,0,7,7,1,9,12,9,0,7,11
805.0,4025.0,70,375.0,1.25,6.040501267994611,0,13,2,3,1,5,1,0,7,8,3,6,2,7,0,4,8
810.0,4050.0,50,264.0,0.8770764119601329,6.981482486616519,0,13,2,2,6,1,0,1,3,3,4,3,0,0,0,7,5
815.0,4075.0,71,461.0,1.5315614617940199,8.197840855811101,0,6,4,2,13,3,6,4,3,2,5,3,0,0,0,12,8
820.0,4100.0,60,433.0,1.4385382059800664,6.919153826027831,0,4,3,0,13,2,6,2,5,2,0,3,1,1,0,9,9
825.0,4125.0,53,264.0,0.8888888888888888,6.916868596668058,0,5,4,0,7,7,0,6,3,0,2,2,1,1,0,6,9
830.0,4150.0,58,348.0,1.1523178807947019,7.5247160151162245,0,2,5,0,0,7,0,8,0,1,2,4,6,1,2,8,12
835.0,4175.0,61,419.0,1.3386581469648562,7.686219608901576,0,5,6,0,0,7,0,2,2,5,0,7,6,1,2,6,12
840.0,4200.0,58,416.0,1.3081761006289307,7.34855354160181,0,11,2,0,0,6,5,1,3,2,2,8,2,0,2,2,12
845.0,4225.0,81,669.0,2.064814814814815,6.85692611674116,0,10,1,0,1,6,7,6,4,4,4,12,4,0,2,8,12
